Common name,Sci name,Other common names,Other sci name,Order,Family,Countries,In US?,Big enough?,Use for iSDM,GBIF records 31-May-23,iNat records 31-May-23,Cam sites,Cam records,GBIF notes,iNat notes,Cam notes,Max confusion score?,Overlapping with confused spec?,Assigned to undergrads?
Brush Rabbit,Sylvilagus bachmani,Riparian Brush Rabbit,Lepus bachmani,LAGOMORPHA,LEPORIDAE,United States|Mexico,Yes,Yes,Yes,681,4356,,,,,,4,TRUE,FALSE
Central American Tapeti,Sylvilagus gabbi,Central American Forest Rabbit|Tropical Cottontail,,LAGOMORPHA,LEPORIDAE,Mexico|Belize|Guatemala|Honduras|Nicaragua|Costa Rica|Panama,No,Yes,,,,,,,,,NA,TRUE,FALSE
Tres Marias Cottontail,Sylvilagus graysoni,Tres Marias Rabbit,,LAGOMORPHA,LEPORIDAE,Mexico,No,Yes,,,,,,,,,NA,FALSE,TRUE
Eastern Cottontail,Sylvilagus floridanus,Florida Cottontail,Lepus sylvaticus,LAGOMORPHA,LEPORIDAE,Canada|United States|Mexico|Honduras|Guatemala|El Salvador|Nicaragua|Costa Rica|Colombia|Venezuela,Yes,Yes,Yes,3647,57485,,,,,,4,TRUE,FALSE
Robust Cottontail,Sylvilagus holzneri,Manzano Mountain Cottontail,,LAGOMORPHA,LEPORIDAE,United States|Mexico,Yes,Yes,Yes,0,59,,,,,,NA,NA,FALSE
Omilteme Cottontail,Sylvilagus insonus,Omiltemi Cottontail|Omiltemi Rabbit,,LAGOMORPHA,LEPORIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Pygmy Rabbit,Sylvilagus idahoensis,,"Lepus idahoensis, Brachylagus idahoensis",LAGOMORPHA,LEPORIDAE,United States,Yes,Yes,Yes,368,37,,,"Listed as ""Brachylagus idahoensis""",,,3,NA,FALSE
Mountain Cottontail,Sylvilagus nuttallii,Nuttall's Cottontail,Lepus nuttallii,LAGOMORPHA,LEPORIDAE,Canada|United States,Yes,Yes,Yes,1445,1202,,,,,,4,TRUE,FALSE
Appalachian Cottontail,Sylvilagus obscurus,Allegheny Cottontail|Wood Rabbit,,LAGOMORPHA,LEPORIDAE,United States,Yes,Yes,Yes,26,58,,,,,,4,TRUE,FALSE
Marsh Rabbit,Sylvilagus palustris,Key Rabbit|Lower Keys Marsh Rabbit,,LAGOMORPHA,LEPORIDAE,United States,Yes,Yes,Yes,99,3758,,,,,,3,FALSE,TRUE
Collared Pika,Ochotona collaris,,,LAGOMORPHA,OCHOTONIDAE,Alaska|Canada,No,Yes,,,,,,,,,2,NA,TRUE
New England Cottontail,Sylvilagus transitionalis,Wood Rabbit,Lepus sylvaticus transitionalis,LAGOMORPHA,LEPORIDAE,United States,Yes,Yes,Yes,131,19,,,,,,4,TRUE,FALSE
Central American Tapir,Tapirus bairdii,Baird's Tapir,,PERISSODACTYLA,TAPIRIDAE,Mexico|Guatemala|Belize|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Ecuador?,No,Yes,,,,,,,,,NA,FALSE,TRUE
Central American Silky Anteater,Cyclopes dorsalis,,,PILOSA,CYCLOPEDIDAE,Mexico|Belize|Guatemala|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Ecuador,No,Yes,,,,,,,,,NA,FALSE,TRUE
Northern Tamandua,Tamandua mexicana,Mexican Anteater,,PILOSA,MYRMECOPHAGIDAE,Mexico|Guatemala|Belize|El Salvador|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Ecuador|Peru,No,Yes,,,,,,,,,NA,FALSE,TRUE
Mantled Howler,Alouatta palliata,Azuero Peninsula Howler|Coiba Island Howler|Ecuadorian Mantled Howler|South Pacific Blackish Howler|Golden-mantled Howler|Mexican Howler,,PRIMATES,ATELIDAE,Mexico|Guatemala|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Ecuador|Peru,No,Yes,,,,,,,,,NA,TRUE,TRUE
Central American Black Howler,Alouatta pigra,Guatemalan Black Howler|Lawrence's Black Howler|Mexican Black Howler|YucatÃ¡n Black Howler,,PRIMATES,ATELIDAE,Mexico|Belize|Guatemala,No,Yes,,,,,,,,,NA,TRUE,TRUE
Central American Spider Monkey,Ateles geoffroyi,Black-handed Spider Monkey|Geoffroy's Spider Monkey|Azuero Spider Monkey|Black-browed Spider Monkey|Geoffroy's Spider Monkey|Hooded Spider Monkey|Mexican Spider Monkey|Ornate Spider Monkey|YucatÃ¡n Spider Monkey,,PRIMATES,ATELIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,No,Yes,,,,,,,,,NA,TRUE,TRUE
Lowland Paca,Cuniculus paca,Paca|Spotted Paca,,RODENTIA,CUNICULIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Trinidad & Tobago|Guyana|Suriname|French Guiana|Ecuador|Peru|Brazil|Bolivia|Paraguay|Uruguay|Argentina,No,Yes,,,,,,,,,NA,FALSE,TRUE
Mexican Agouti,Dasyprocta mexicana,Mexican Black Agouti,,RODENTIA,DASYPROCTIDAE,Mexico,No,Yes,,,,,,,,,NA,FALSE,TRUE
Central American Agouti,Dasyprocta punctata,,,RODENTIA,DASYPROCTIDAE,Mexico|Belize|Guatemala|El Salvador|Honduras|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Ecuador,No,Yes,,,,,,,,,NA,FALSE,TRUE
Mexican Hairy Porcupine,Coendou mexicanus,Mexican Hairy Dwarf Porcupine|Mexican Porcupine|Mexican Tree Porcupine,,RODENTIA,ERETHIZONTIDAE,Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,No,Yes,,,,,,,,,NA,FALSE,TRUE
Harris's Antelope Squirrel,Ammospermophilus harrisii,,,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,646,1043,,,,,,3,TRUE,FALSE
Texas Antelope Squirrel,Ammospermophilus interpres,,Tamias interpres,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,173,185,,,,,,3,TRUE,FALSE
White-tailed Antelope Squirrel,Ammospermophilus leucurus,,Tamias leucurus,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,3906,3012,,,,,,4,TRUE,FALSE
Nelson's Antelope Squirrel,Ammospermophilus nelsoni,,Spermophilus nelsoni,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,241,325,,,,,,4,FALSE,TRUE
Mountain Beaver,Aplodontia rufa,Boomer|Sewellel|Point Arena Mountain Beaver|Point Reyes Mountain Beaver,,RODENTIA,APLODONTIIDAE,Canada|United States,Yes,Yes,Yes,840,99,,,,,,1,NA,TRUE
Common Golden-mantled Ground Squirrel,Callospermophilus lateralis,Green River Basin Golden-mantled Ground Squirrel,Spermophilus lateralis,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,5600,8527,,,,,,4,FALSE,TRUE
Allen's Squirrel,Sciurus alleni,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Cascade Golden-mantled Ground Squirrel,Callospermophilus saturatus,,"Tamias lateralis saturatus, Spermophilus saturatus",RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,26,943,,,,,,4,FALSE,TRUE
Red-bellied Squirrel,Sciurus aureogaster,Mexican Gray Squirrel|Mexican Red-bellied Squirrel,,RODENTIA,SCIURIDAE,Mexico|Guatemala,No,Yes,,,,,,,,,NA,TRUE,FALSE
North American Beaver,Castor canadensis,American Beaver|Canadian Beaver,,RODENTIA,CASTORIDAE,Alaska|Canada|United States|Mexico,Yes,Yes,Yes,2039,27584,,,,,,2,NA,TRUE
Collie's Squirrel,Sciurus colliaei,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Deppe's Squirrel,Sciurus deppei,,,RODENTIA,SCIURIDAE,Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua|Costa Rica,No,Yes,,,,,,,,,NA,TRUE,FALSE
Gunnison's Prairie Dog,Cynomys gunnisoni,,Spermophilus gunnisoni,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,742,873,,,,,,3,TRUE,FALSE
White-tailed Prairie Dog,Cynomys leucurus,,,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,416,298,,,,,,3,TRUE,FALSE
Black-tailed Prairie Dog,Cynomys ludovicianus,Arizona Black-tailed Prairie Dog,,RODENTIA,SCIURIDAE,Canada|United States|Mexico,Yes,Yes,Yes,620,6044,,,,,,3,TRUE,FALSE
Peters's Squirrel,Sciurus oculatus,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Variegated Squirrel,Sciurus variegatoides,,,RODENTIA,SCIURIDAE,Mexico|Guatemala|Honduras|Nicaragua|El Salvador|Costa Rica|Panama,No,Yes,,,,,,,,,NA,TRUE,FALSE
Yucatan Squirrel,Sciurus yucatanensis,,,RODENTIA,SCIURIDAE,Mexico|Belize|Guatemala,No,Yes,,,,,,,,,NA,TRUE,FALSE
Utah Prairie Dog,Cynomys parvidens,,,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,82,180,,,,,,3,TRUE,FALSE
North American Porcupine,Erethizon dorsatum,Quiller|Quill Pig,Erethizon dorsata,RODENTIA,ERETHIZONTIDAE,Alaska|Canada|United States|Mexico,Yes,Yes,Yes,1441,11407,,,"Listed as ""Erethizon dorsatus""",,,1,NA,TRUE
Humboldt's Flying Squirrel,Glaucomys oregonensis,Bachman's Flying Squirrel|California Coast Flying Squirrel|Cascade Flying Squirrel|Klamath Flying Squirrel|Okanagan Flying Squirrel|Yellow-bellied Flying Squirrel,Pteromys oregonensis,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,0,476,,,,,,NA,NA,FALSE
Northern Flying Squirrel,Glaucomys sabrinus,Carolina Flying Squirrel|Alaska Coast Flying Squirrel|Atnarko Flying Squirrel|Bangs Flying Squirrel|Broad-footed Flying Squirrel|Cascade Flying Squirrel|Hudson Bay Flying Squirrel|Labrador Flying Squirrel|Mearns's Flying Squirrel|Okanagan Flying Squirrel|Richardson Flying Squirrel|Sierra Flying Squirrel|Yukon Flying Squirrel,,RODENTIA,SCIURIDAE,Alaska|Canada|United States,Yes,Yes,Yes,2238,658,,,,,,4,TRUE,FALSE
Southern Flying Squirrel,Glaucomys volans,Mexican Flying Squirrel|Florida Flying Squirrel|Small Eastern Flying Squirrel|Southeastern Flying Squirrel|Texas Flying Squirrel,,RODENTIA,SCIURIDAE,Canada|United States|Mexico|Guatemala|Honduras,Yes,Yes,Yes,938,1971,,,,,,4,TRUE,FALSE
Rio Grande Ground Squirrel,Ictidomys parvidens,,Spermophilus mexicanus parvidens,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,268,639,,,,,,NA,NA,FALSE
Thirteen-lined Ground Squirrel,Ictidomys tridecemlineatus,,Spermophilus tridecemlineatus,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,2553,2225,,,,,,2,NA,TRUE
Hoary Marmot,Marmota caligata,,,RODENTIA,SCIURIDAE,Alaska|Canada|United States,Yes,Yes,Yes,530,2475,,,,,,2,NA,TRUE
Sierra Madre Ground Squirrel,Callospermophilus madrensis,Sierra Madre Golden-mantled Ground Squirrel,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Yellow-bellied Marmot,Marmota flaviventris,,Marmota flaviventer,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,1148,7505,,,,,,1,NA,TRUE
Woodchuck,Marmota monax,Groundhog,,RODENTIA,SCIURIDAE,Alaska|Canada|United States,Yes,Yes,Yes,790,18753,,,,,,2,NA,TRUE
Olympic Marmot,Marmota olympus,,Arctomys olympus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,27,252,,,,,,2,NA,TRUE
Nutria,Myocastor coypus,Coypu,Myopotamus coypus,RODENTIA,ECHIMYIDAE,Canada|United States|Mexico,Yes,Yes,Yes,199,3807,,,,,,2,NA,TRUE
Mexican Prairie Dog,Cynomys mexicanus,Mexican Prairie Marmot,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Round-tailed Muskrat,Neofiber alleni,,,RODENTIA,CRICETIDAE,United States,Yes,Yes,Yes,68,17,,,,,,3,NA,FALSE
Mexican Ground Squirrel,Ictidomys mexicanus,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,3,TRUE,FALSE
Alpine Chipmunk,Neotamias alpinus,,Tamias alpinus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,375,21,,,Listed as Tamius,,,4,TRUE,FALSE
Yellow-pine Chipmunk,Neotamias amoenus,,Tamias amoenus,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,5325,1074,,,Listed as Tamius,,,4,TRUE,FALSE
Alaska Marmot,Marmota broweri,,,RODENTIA,SCIURIDAE,Alaska|Canada,No,Yes,,,,,,,,,2,NA,TRUE
Gray-footed Chipmunk,Neotamias canipes,,"Eutamias cinereicollis canipes, Tamias canipes
",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,221,238,,,Listed as Tamius,,,4,FALSE,TRUE
Gray-collared Chipmunk,Neotamias cinereicollis,,Tamias cinereicollis,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,410,56,,,Listed as Tamius,,,3,FALSE,TRUE
Crater Chipmunk,Neotamias cratericus,,,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,0,0,,,Listed as Tamius,,,NA,NA,FALSE
Cliff Chipmunk,Neotamias dorsalis,,Tamias dorsalis,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,2420,898,,,Listed as Tamius,,,2,NA,TRUE
Vancouver Island Marmot,Marmota vancouverensis,,,RODENTIA,SCIURIDAE,Canada,No,Yes,,,,,,,,,2,NA,TRUE
Tropical Ground Squirrel,Notocitellus adocetus,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Ring-tailed Ground Squirrel,Notocitellus annulatus,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Coulee Chipmunk,Neotamias grisescens,,,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,0,0,,,Listed as Tamius,,,NA,NA,FALSE
Merriam's Chipmunk,Neotamias merriami,,"Tamias asiaticus merriami, Tamias merriami
",RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,811,1087,,,Listed as Tamius,,,4,TRUE,FALSE
Least Chipmunk,Neotamias minimus,PeÃ±asco Least Chipmunk|Selkirk Least Chipmunk,Tamias minimus,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,9777,2037,,,Listed as Tamius,,,4,TRUE,FALSE
California Chipmunk,Neotamias obscurus,,Tamias obscurus,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,176,81,,,Listed as Tamius,,,4,TRUE,FALSE
Yellow-cheeked Chipmunk,Neotamias ochrogenys,Redwood Chipmunk,"Eutamias townsendii ochrogenys, Tamias ochrogenys",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,253,42,,,Listed as Tamius,,,4,TRUE,FALSE
Palmer's Chipmunk,Neotamias palmeri,,"Eutamias palmeri, Tamias palmeri",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,73,96,,,Listed as Tamius,,,4,TRUE,FALSE
Panamint Chipmunk,Neotamias panamintinus,,Tamias panamintinus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,426,25,,,Listed as Tamius,,,4,TRUE,FALSE
Long-eared Chipmunk,Neotamias quadrimaculatus,,Tamias quadrimaculatus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,255,87,,,Listed as Tamius,,,4,TRUE,FALSE
Colorado Chipmunk,Neotamias quadrivittatus,,Tamias quadrivittatus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,1722,141,,,Listed as Tamius,,,4,TRUE,FALSE
Red-tailed Chipmunk,Neotamias ruficaudus,,"Eutamias ruficaudus, Tamias ruficaudus",RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,48,25,,,Listed as Neotamius,,,4,TRUE,FALSE
Hopi Chipmunk,Neotamias rufus,,"Eutamias rufus, Tamias rufus",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,591,149,,,Listed as Tamius,,,4,TRUE,FALSE
Arctic Ground Squirrel,Urocitellus parryii,,,RODENTIA,SCIURIDAE,Russia|Alaska|Canada,No,Yes,,,,,,,,,3,FALSE,TRUE
Shadow Chipmunk,Neotamias senex,Allen's Chipmunk,Tamias senex,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,883,36,,,Listed as Tamius,,,4,TRUE,FALSE
Siskiyou Chipmunk,Neotamias siskiyou,,"Eutamias townsendii siskiyou, Tamias siskiyou
",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,409,26,,,Listed as Tamius,,,4,TRUE,FALSE
Sonoma Chipmunk,Neotamias sonomae,,Tamias sonomae,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,575,408,,,Listed as Tamius,,,4,TRUE,FALSE
Lodgepole Chipmunk,Neotamias speciosus,,Tamias speciosus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,2033,306,,,Listed as Tamius,,,4,TRUE,FALSE
Perote Ground Squirrel,Xerospermophilus perotensis,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Townsend's Chipmunk,Neotamias townsendii,,Tamias townsendii,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,154,1254,,,Listed as Tamius,,,4,TRUE,FALSE
Uinta Chipmunk,Neotamias umbrinus,Hidden Forest Uinta Chipmunk|Mount Ellen Uinta Chipmunk,Tamias umbrinus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,2547,310,,,Listed as Tamius,,,4,TRUE,FALSE
White-throated Woodrat,Neotoma albigula,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,7648,160,,,,,,4,TRUE,FALSE
Bryant's Woodrat,Neotoma bryanti,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,1224,57,,,,,,4,TRUE,FALSE
Buller's Chipmunk,Neotamias bulleri,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Bushy-tailed Woodrat,Neotoma cinerea,Packrat,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,Yes,Yes,Yes,2801,185,,,,,,2,NA,TRUE
Arizona Woodrat,Neotoma devia,,Neotoma intermedia devia,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,380,8,,,,,,4,TRUE,FALSE
Eastern Woodrat,Neotoma floridana,Key Largo Woodrat,,RODENTIA,CRICETIDAE,United States,Yes,Yes,Yes,1371,165,,,,,,4,TRUE,FALSE
Dusky-footed Woodrat,Neotoma fuscipes,San Joaquin Valley Woodrat|Riparian Woodrat,,RODENTIA,CRICETIDAE,United States,Yes,Yes,Yes,1628,714,,,,,,4,TRUE,FALSE
Durango Chipmunk,Neotamias durangae,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Desert Woodrat,Neotoma lepida,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,7254,74,,,,,,4,TRUE,FALSE
White-toothed Woodrat,Neotoma leucodon,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,1183,29,,,,,,4,TRUE,FALSE
Big-eared Woodrat,Neotoma macrotis,Large-eared Woodrat,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,1632,84,,,,,,4,TRUE,FALSE
Allegheny Woodrat,Neotoma magister,Appalachian Woodrat,,RODENTIA,CRICETIDAE,United States,Yes,Yes,Yes,44,26,,,,,,4,TRUE,FALSE
Mexican Woodrat,Neotoma mexicana,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,2903,37,,,,,,4,TRUE,FALSE
Southern Plains Woodrat,Neotoma micropus,,,RODENTIA,CRICETIDAE,United States|Mexico,Yes,Yes,Yes,1815,64,,,,,,4,TRUE,FALSE
Stephens's Woodrat,Neotoma stephensi,,,RODENTIA,CRICETIDAE,United States,Yes,Yes,Yes,520,3,,,,,,3,TRUE,FALSE
Common Muskrat,Ondatra zibethicus,Muskbeaver,,RODENTIA,CRICETIDAE,Alaska|Canada|United States|Mexico,Yes,Yes,Yes,4612,15948,,,,,,3,NA,FALSE
California Ground Squirrel,Otospermophilus beecheyi,Beechey's Ground Squirrel|Gray Digger,Spermophilus beecheyi,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,2598,24243,,,,,,3,FALSE,TRUE
Douglas's Ground Squirrel,Otospermophilus douglasii,,,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,0,0,,,,,,NA,NA,FALSE
Common Rock Squirrel,Otospermophilus variegatus,,Spermophilus variegatus,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,2252,9384,,,,,,3,FALSE,TRUE
Franklin's Ground Squirrel,Poliocitellus franklinii,,Spermophilus franklinii,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,216,653,,,,,,2,NA,TRUE
Abert's Squirrel,Sciurus aberti,Tassel-eared Squirrel|Kaibab Squirrel,,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,861,1558,,,,,,2,NA,TRUE
Sierra del Carmen Chipmunk,Neotamias solivagus,,,RODENTIA,SCIURIDAE,Mexico,No,Yes,,,,,,,,,NA,NA,FALSE
Arizona Gray Squirrel,Sciurus arizonensis,,,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,85,929,,,,,,2,NA,TRUE
Eastern Gray Squirrel,Sciurus carolinensis,,,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,1806,112699,,,,,,2,NA,TRUE
Western Gray Squirrel,Sciurus griseus,Silver Gray Squirrel,,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,1482,7089,,,,,,2,NA,TRUE
Mexican Fox Squirrel,Sciurus nayaritensis,Apache Squirrel|Chiricahua Fox Squirrel|Nayarit Squirrel,,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,194,312,,,,,,2,NA,TRUE
Eastern Fox Squirrel,Sciurus niger,Bryant's Fox Squirrel|Cat Squirrel|Delmarva Fox Squirrel|Fox Squirrel|Stump-eared Squirrel|Western Fox Squirrel|Big Cypress Fox Squirrel,,RODENTIA,SCIURIDAE,Canada|United States|Mexico,Yes,Yes,Yes,2813,53259,,,,,,2,NA,TRUE
Eastern Chipmunk,Tamias striatus,,,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,3451,35388,,,,,,2,NA,TRUE
Yellow-faced Pocket Gopher,Cratogeomys castanops,,,RODENTIA,GEOMYIDAE,United States|Mexico,,No,,,,,,,,,3,TRUE,FALSE
Oriental Basin Pocket Gopher,Cratogeomys fulvescens,Fulvous Pocket Gopher,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Smoky Pocket Gopher,Cratogeomys fumosus,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Goldman's Pocket Gopher,Cratogeomys goldmani,Goldman's Yellow-faced Pocket Gopher,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Merriam's Pocket Gopher,Cratogeomys merriami,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Cofre de Perote Pocket Gopher,Cratogeomys perotensis,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Volcan de Toluca Pocket Gopher,Cratogeomys planiceps,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Desert Pocket Gopher,Geomys arenarius,Sand Pocket Gopher|Rio Grande Pocket Gopher|Tularosa Pocket Gopher,,RODENTIA,GEOMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Attwater's Pocket Gopher,Geomys attwateri,Victoria Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Baird's Pocket Gopher,Geomys breviceps,Louisiana Pocket Gopher|Mer Rouge Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Plains Pocket Gopher,Geomys bursarius,Mississippi Valley Pocket Gopher,,RODENTIA,GEOMYIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Hall's Pocket Gopher,Geomys jugossicularis,Colorado Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Jones's Pocket Gopher,Geomys knoxjonesi,Knox Jones's Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Sand Hills Pocket Gopher,Geomys lutescens,Pale Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Texas Pocket Gopher,Geomys personatus,Masked Pocket Gopher|South Texas Pocket Gopher|Del Rio Pocket Gopher|Nueces Pocket Gopher|Padre Island Pocket Gopher|Rio Grande Pocket Gopher|Seaside Pocket Gopher,,RODENTIA,GEOMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
South-eastern Pocket Gopher,Geomys pinetis,Sandy Mounder|Colonial Pocket Gopher|Cumberland Island Pocket Gopher|Goff's Pocket Gopher|Sherman's Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,FALSE,TRUE
Strecker's Pocket Gopher,Geomys streckeri,Carrizo Springs Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Llano Pocket Gopher,Geomys texensis,Central Texas Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Tropical Pocket Gopher,Geomys tropicalis,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,FALSE,TRUE
Hispid Pocket Gopher,Heterogeomys hispidus,,,RODENTIA,GEOMYIDAE,Mexico|Belize|Guatemala|Honduras,,No,,,,,,,,,NA,NA,FALSE
Big Pocket Gopher,Heterogeomys lanius,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Giant Pocket Gopher,Orthogeomys grandis,Oaxacan Pocket Gopher,,RODENTIA,GEOMYIDAE,Mexico|Guatemala|El Salvador|Honduras,,No,,,,,,,,,NA,TRUE,FALSE
Buller's Pocket Gopher,Pappogeomys bulleri,Alcorn's Pocket Gopher,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Michoacan Pocket Gopher,Zygogeomys trichopus,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Black-and-Brown Pocket Gopher,Thomomys atrovarius,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Botta's Pocket Gopher,Thomomys bottae,Valley Pocket Gopher,,RODENTIA,GEOMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Camas Pocket Gopher,Thomomys bulbivorus,Camas Rat,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
